INFO  - 2017-04-06 20:28:46.539; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-04-06 20:28:47.848; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2017-04-06 20:28:47.849; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.850; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-04-06 20:28:47.850; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-04-06 20:28:47.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.906; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-04-06 20:28:47.916; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2017-04-06 20:28:48.057; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-04-06 20:28:48.063; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf/schema.xml
INFO  - 2017-04-06 20:28:48.106; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-04-06 20:28:48.393; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-04-06 20:28:48.403; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2017-04-06 20:28:48.403; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2017-04-06 20:28:48.462; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-04-06 20:28:48.467; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-04-06 20:28:48.550; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/
INFO  - 2017-04-06 20:28:48.569; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-04-06 20:28:48.573; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/, dataDir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data/
INFO  - 2017-04-06 20:28:48.575; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@6f94fa3e
INFO  - 2017-04-06 20:28:48.599; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-04-06 20:28:48.599; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-04-06 20:28:48.615; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data
INFO  - 2017-04-06 20:28:48.618; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data/index/
INFO  - 2017-04-06 20:28:48.619; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data/index
INFO  - 2017-04-06 20:28:48.635; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-04-06 20:28:48.635; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-04-06 20:28:48.636; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-04-06 20:28:48.638; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-04-06 20:28:48.638; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-04-06 20:28:48.727; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-04-06 20:28:48.737; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.738; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.739; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.740; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.743; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.744; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.746; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-04-06 20:28:48.747; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.749; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2017-04-06 20:28:48.751; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.752; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-04-06 20:28:48.752; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-04-06 20:28:48.752; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-04-06 20:28:48.753; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-04-06 20:28:48.753; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-04-06 20:28:48.754; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-04-06 20:28:48.754; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-04-06 20:28:48.756; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-04-06 20:28:48.758; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-04-06 20:28:48.759; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-04-06 20:28:48.777; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-04-06 20:28:48.778; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.778; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.778; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.778; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.778; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.779; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.779; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.779; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.779; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.779; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-04-06 20:28:48.797; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-06 20:28:48.798; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-06 20:28:48.799; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-06 20:28:48.800; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-06 20:28:48.801; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-04-06 20:28:48.812; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-04-06 20:28:48.812; org.apache.solr.update.CommitTracker; Soft AutoCommit: if uncommited for 3000ms; 
INFO  - 2017-04-06 20:28:48.847; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-04-06 20:28:48.847; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-04-06 20:28:48.853; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@420ff4c1[collection1] main
INFO  - 2017-04-06 20:28:48.859; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.859; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf}
INFO  - 2017-04-06 20:28:48.862; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.868; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.868; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2017-04-06 20:28:48.868; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-04-06 20:28:48.869; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.870; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.871; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-04-06 20:28:48.871; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-04-06 20:28:48.872; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-04-06 20:28:48.873; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
INFO  - 2017-04-06 20:28:48.874; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/conf
